"Item Code","Item Description","Part No.","Part Description","Model","Unit Of Measurement","Spare Part Type","Location","Specify","Part Category","Is Expiry date Required","Min Nos","Max Nos","Minimum Price Per Nos (RM)","Maximum Price Per Nos (RM)","Brand","Status","Expiry Age (In Month)","Current Stock Level"
"BP0018","Motors/ Micromotors/ Carbon brushes","01-0802-0503-085","Flow motor","","Unit","Fast Moving Item","Company Site Office","","Biomedical","Yes","1","3"," [$501Tue, 14 May 1901 00:00:00 +0000] * #,##0.00 "," [$302Mon, 10 Mar 1902 00:00:00 +0000] * #,##0.00 ","Common","Active","0","0"
"BP0025","Sensors/ Detectors","01-0101-0101-044","O2 Sensor OOM202","","Unit","One Off","Centralized","","Biomedical","Yes","1","5"," [$1000Sat, 06 Oct 1900 00:00:00 +0000] * #,##0.00 "," [$101Mon, 14 Jan 1901 00:00:00 +0000] * #,##0.00 ","Common","Active","0","0"
"BP0005","Casing/ Covers/ Brackets/ Latches/ Part Holders","01-0802-0504-011","Door 22MM Bubble C.Holder 4008SV10","Fresenius 4008S NG","Unit","Just In Time","Company Site Office","","Biomedical","No","1","3"," [$302Mon, 10 Mar 1902 00:00:00 +0000] * #,##0.00 "," [$402Sat, 05 Apr 1902 19:12:00 +0000] * #,##0.00 ","Fresenius","Active","0","3"
"BP0001","Batteries/ UPS","01-0503-0104-001","Battery Pack Fot Tec 7731K","","Unit","Just In Time","Centralized","","Biomedical","Yes","0","10"," [$1001Fri, 11 Oct 1901 00:00:00 +0000] * #,##0.00 "," [$1003Sat, 31 Oct 1903 00:00:00 +0000] * #,##0.00 ","Nihon Kohden","Active","0","2"
"BP0025","Sensors/ Detectors","01-1603-1405-001","DATEX OHMEDA Spo2 FINGER SENSOR Trusignal (TS-F-D)","Trusat","Unit","Fast Moving Item","Company Site Office","","Biomedical","Yes","1","20"," [$101Sat, 19 Jan 1901 00:00:00 +0000] * #,##0.00 "," [$101Sun, 27 Jan 1901 00:00:00 +0000] * #,##0.00 ","","Active","0","10"
"BP0025","Sensors/ Detectors","01-0101-0600-002","FLOW TRANDUCER GE","","Unit","Fast Moving Item","Company Site Office","","Biomedical","Yes","5","10"," [$301Mon, 25 Mar 1901 00:00:00 +0000] * #,##0.00 "," [$202Fri, 28 Feb 1902 00:00:00 +0000] * #,##0.00 ","Ge","Active","0","1"
"BP0003","Bulbs/ Lamps","01-1902-0301-002","Bulb 12v 30w","Bc 900","Unit","One Off","Company Site Office","","Biomedical","Yes","1","16"," [$500Sun, 06 May 1900 00:00:00 +0000] * #,##0.00 "," [$500Wed, 09 May 1900 00:00:00 +0000] * #,##0.00 ","Haag-Streit","Active","0","24"
"BP0001","Batteries/ UPS","01-2300-0201-001","Battery AA (Alkaline)","Common","Unit","Fast Moving Item","Company Site Office","","Biomedical","Yes","200","800"," [$100Mon, 01 Jan 1900 20:24:00 +0000] * #,##0.00 "," [$100Tue, 02 Jan 1900 05:45:36 +0000] * #,##0.00 ","Energizer","Active","0","595"
"BP0011","Equipment Specific Parts","01-0322-0101-015","Label Remover","Common","Unit","One Off","Company Site Office","","Biomedical","No","12","24"," [$100Thu, 25 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$200Wed, 28 Feb 1900 00:00:00 +0000] * #,##0.00 ","Common","Active","","0"
"BP0003","Bulbs/ Lamps","01-2406-0401-001","Bulb 12v 100w (64623 HLX)","Hlx64625","Unit","One Off","Company Site Office","","Biomedical","Yes","5","10"," [$300Sun, 25 Mar 1900 00:00:00 +0000] * #,##0.00 "," [$701Wed, 03 Jul 1901 00:00:00 +0000] * #,##0.00 ","Osram","Active","3","10"
"BP0027","Switchs/ Knobs/Buttons","01-2406-0101-002","Read Switch","Kcd-10m-7","Unit","Just In Time","Company Site Office","","Biomedical","Yes","5","10"," [$300Tue, 20 Mar 1900 00:00:00 +0000] * #,##0.00 "," [$300Sun, 25 Mar 1900 00:00:00 +0000] * #,##0.00 ","TOSHIBA","Active","0","0"
"BP0011","Equipment Specific Parts","01-0322-0101-006","STP Foam Cleaner","Common","Unit","One Off","Company Site Office","","Biomedical","Yes","12","24"," [$100Sat, 27 Jan 1900 12:00:00 +0000] * #,##0.00 "," [$300Thu, 15 Mar 1900 00:00:00 +0000] * #,##0.00 ","Common","Active","0","17"
"BP0011","Equipment Specific Parts","01-0322-0200-001","Ambersil - Label Remover","","Unit","Just In Time","Company Site Office","","Biomedical","Yes","12","24"," [$200Sun, 11 Feb 1900 00:00:00 +0000] * #,##0.00 "," [$900Thu, 06 Sep 1900 00:00:00 +0000] * #,##0.00 ","","Active","0","13"
"BP0014","Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes","01-2305-0102-001","Swive Air Hose","505","Unit","One Off","Company Site Office","","Biomedical","Yes","0","1"," [$801Thu, 22 Aug 1901 00:00:00 +0000] * #,##0.00 "," [$1001Fri, 11 Oct 1901 00:00:00 +0000] * #,##0.00 ","","Active","0","0"
"BP0018","Motors/ Micromotors/ Carbon brushes","01-0802-0502-007","Fresenius 4008S Motor Assy Degassing Complete","","Unit","Just In Time","Company Site Office","","Biomedical","Yes","1","5"," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$902Fri, 26 Sep 1902 00:00:00 +0000] * #,##0.00 ","Fresenius","Active","0","1"
"BP0003","Bulbs/ Lamps","01-2602-0200-018","PROJECTION LAMP 24V 250W OSRAM","Common","Unit","One Off","Company Site Office","","Biomedical","Yes","5","15"," [$100Tue, 09 Jan 1900 12:00:00 +0000] * #,##0.00 "," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 ","Common","Active","0","18"
